grant_id,Title,Donations Standard deviation,Variety of tokens,Variety of chain,Variety of days,Votes,Total raised
7698,İnvesment Base,0.0,1,1,1,1,5.492789999999999
6301,Building an immersive learn2ea,0.42160709345869346,2,2,4,4,5.576805
7437,Kangra Gardens: Journey Throug,0.9012677345822063,2,2,2,3,5.6477368
1821,CryptoChica - CryptoCommunity,0.2461655692367709,2,2,5,5,5.7327493700000005
7399,Metaverse Builders DAO,0.2757731159413477,3,3,3,5,5.867965
747,Simona Pop's Ecosystem Develop,2.0096456999999996,2,2,2,2,5.980708599999999
6995,Powering Crypto Education and,0.8656240010097845,3,3,4,4,5.999073
5520,Earthbanc Protocol - merging d,0.5,1,3,4,4,6.0
7141,0  colonyislands metaverse,1.9993452024999998,2,1,2,2,6.001309595
6496,Zaya ~ Cultivating human-natur,0.39977753628857143,2,2,5,5,6.002234
277,Commons Simulator: Level Up,1.9949999999999994,1,2,2,2,6.009999999999999
798,A Hitchhiker's Guide to Token,1.9949999999999994,1,2,2,2,6.009999999999999
5036,UNICEF Response in Ukraine,1.980474,2,2,2,2,6.039052
6169,CryptoIn - SocialFi in a profe,0.004518320075685035,1,1,2,6,6.061316075000002
4857,Web3 Dekodemo Door,0.6272584478273289,2,1,3,4,6.061878
6574,Raiz Vertical Farms,0.38262252939417984,2,3,5,5,6.2
888,Brownie,0.5640001840484241,3,3,4,4,6.207674
6755,PeaceDAO: funding life-saving,1.8789678104005212,2,1,2,2,6.242064379198958
4732,NFTs for Climate Justice,1.8693174999999997,2,1,2,2,6.261365
5334,Atem - enabling simple and eff,0.0,1,1,1,1,6.326500000000001
6027,MiraDAO,0.0,1,1,1,1,6.326500000000001
7673,Climate CRED,1.8305124999999995,2,2,1,2,6.338975
6535,Developing commodified measure,2.1971892000000004,1,2,2,2,6.401661600000001
383,ActivityWatch - The world's be,1.681485,2,1,2,2,6.63703
5911,HighFy Me,0.0,1,1,1,1,6.652175
392,EthFans.org,0.0,1,1,1,1,6.747525
3356,DAOrayaki,0.2834068840752585,3,2,5,6,6.874669195
2281,Cross-Asset-Swap,0.4511874202341088,2,2,4,5,6.9980788
385,"Locha Mesh: private txs, censo",0.0,1,1,1,1,6.999999999999999
6166,Web3 Education for Historicall,1.885618083164127,1,2,3,3,7.000000000000001
7663,Cryptomurals - Street art as p,1.885354357052273,2,2,3,3,7.00111913
7737,Golang for smart-contracts,0.37156515578507493,2,2,5,6,7.01534525
1534,Prettier Solidity,1.8793051130907106,2,2,2,3,7.0269200000000005
4082,VitaDAO Longevity Fellowship (,0.37072243184155423,2,2,4,6,7.027938605
7070,Klein Finance--DEX on KuCoin C,0.463033476111609,3,2,5,5,7.2
6115,Neighborhood:  A platform for,0.034514198231087055,3,1,5,7,7.229573875
491,Tokamak Network: Decentralized,0.6151074277352326,2,2,3,4,7.338402095000001
5013,Otter Cash – Cheap ZK on Solan,0.7546568366537661,2,1,3,3,7.3991311
7651,Bonsai.so - Patreon for Web3,1.7792790227664737,3,2,3,3,7.50083298
7868,Ranna: Filmmakers for Climate,0.17281283476098985,3,3,2,7,7.54516337
4786,WEB3 MARKETPLACE FOR A REGENER,0.3622762584478023,3,3,4,6,7.7063666
4290,Future Web3 World Vision.,0.3756229621096133,2,3,4,5,7.97378
2736,Miga Labs - Eth2 Software Tool,0.0,1,1,1,1,8.0
5852,DAO of interpreters and transl,1.6993897337369783,2,3,2,3,8.00086723
3578,Gwei.cz - CZ/SK DeFi/Ethereum,1.1609016250000002,2,2,2,2,8.04186325
7376,Telos Scouts,0.9335449999999998,2,1,2,2,8.132909999999999
7034,Yieldchain - DeFi's 0-Code Yie,0.0,1,1,1,1,8.16255
6411,"freeCodeCamp 32 Hour Hardhat,",1.204941717899767,2,1,4,4,8.21294735
6212,LaLa Gardens: Saved by Microbe,0.08302275684879623,3,3,5,8,8.24960455
6582,Kola - Inspire creativity for,0.40386269458202784,3,2,4,6,8.263216074999999
6659,Headline,0.8682100000000001,2,1,2,2,8.263580000000001
6559,SoulCard -- Namecard for buidl,2.5809006075130387,2,2,3,3,8.475091075
7928,Projection Finance,1.6719352867229926,3,2,3,4,8.502682215
3647,Little Things (Indonesian Cryp,0.9758245272190622,2,2,3,5,8.62665066
1565,DemystiFi security in MetaMask,1.718953542478679,2,2,3,4,8.63608
2631,uniswap-python,1.6588539165395937,2,2,4,4,8.64703
6225,The Tabletop RPG Project + AI,3.4160794625,1,2,1,2,8.832391075
7538,AllScan - blockchain explorer,0.0,1,1,1,1,8.87565
403,Swap Box,1.0873719443485625,3,2,3,4,9.04386413
6310,TogethDAO - smart contract bas,0.6962907519200556,2,1,2,7,9.061316075000002
6244,jokedao,0.4085711418225094,2,3,3,5,9.076477802
7197,Privacy-centric defi asset all,0.838728591962707,3,3,3,5,9.130116075
7579,Women in Web3 Venture Builder,3.5925169625000004,2,2,1,2,9.185266075
6239,7Energy - Energy Communities w,0.6875108929477001,4,2,4,7,9.232810230000002
4971,Unchain Fund | Crypto for Ukra,1.595993845912347,3,1,4,4,9.242064379198958
7677,Relay: web3 universal wallet i,0.17182677598815724,3,2,3,8,9.283085
416,yearn.finance,0.033651439155171964,2,2,6,9,9.299069840000001
2986,StartFi,0.0344160577826712,2,1,6,9,9.315055090000001
7951,333 Entertainment,3.4103250000000003,2,1,2,2,9.35125
2984,Ulises Cavenaghi - Comunicador,3.0645536492104175,2,2,1,3,9.5009
5819,Liso - Web3-based Password Man,1.5419468213917105,2,2,3,5,9.600000000000001
7979,Ikhala Impact - a one stop dat,1.7956342845670061,2,2,2,4,9.928948120000001
36,MolochDAO,3.0,1,2,2,2,10.0
7808,AI => Spatial Web3,0.0,2,1,2,2,10.0
2523,Pharo - Automated Cover Market,0.0,1,1,1,1,10.0
2843,Bankless Czech,0.0,1,1,1,1,10.0
3807,Solarpunk Summit,0.0,1,1,1,1,10.0
7581,WBW3 - Next 6 months,0.0,1,1,1,1,10.0
605,StakeWise: ETH 2.0 staking pla,3.29762655723709,2,2,3,3,10.0093648
4027,ENS.me,0.7561375536236777,2,2,3,5,10.030000000000001
5117,Gwei Fund Me,0.7561375536236777,2,2,3,5,10.030000000000001
5164,ENS.Tools,0.7561375536236777,2,2,3,5,10.030000000000001
5620,EthernautDAO,1.2438008778469765,2,2,3,3,10.070465800000001
8017,"Alphabetting, the first hedge",0.20663442318206937,2,2,3,8,10.08414812
5872,DeBooki,0.10277997234279725,2,1,7,9,10.099131100000001
7491,Circonomy,1.2069725159323828,3,3,5,6,10.1556225
3616,DEFIYIELD - the Only Safe Yiel,0.0,1,2,1,8,10.269200000000001
5572,Seedlist: security and stably,1.3120124999999991,1,2,2,2,10.325925000000002
7798,Realtime contract analysis usi,0.47185446544962345,4,3,1,8,10.435984000000001
6461,AssetMerge - Novel NFT AMM Pro,0.23773783908611038,3,2,5,9,10.546185
6349,DESU - Decentralized Subscript,1.3438053524263482,4,2,2,4,10.639216075
6163,Use your own NFT in Mainstream,0.5311591203949907,4,3,5,8,10.6538613
4740,Village Grid DAO,0.4119333943237781,4,3,5,8,10.941553
7846,Soulbound Research,4.499592574999999,2,1,1,2,11.00081485
7373,Spot wallet,1.0644612752410183,3,2,3,6,11.0486903
3386,The CatalanDAO - Building the,1.4530574973392234,3,3,5,6,11.103973069999999
2918,MolochV3 (codename: Baal),1.8863343996008097,2,2,2,3,11.27134925
6462,Medipol Blockchain Community,2.2589902670095223,3,2,2,5,11.273743750000001
6557,Data Union DAO,2.2589902670095223,3,2,2,5,11.273743750000001
